spec_id,weight,dimensions,megapixels
www.eglobalcentral.co.uk//729,760.0,h4.3w5.7d2.6,16.2
www.eglobalcentral.co.uk//683,165.0,,
www.eglobalcentral.co.uk//379,,,
www.eglobalcentral.co.uk//396,1910.0,,
www.eglobalcentral.co.uk//545,,,
www.eglobalcentral.co.uk//400,,,
www.eglobalcentral.co.uk//284,,,
www.eglobalcentral.co.uk//512,,,
www.eglobalcentral.co.uk//457,224.0,,
www.eglobalcentral.co.uk//292,,,
www.eglobalcentral.co.uk//338,2.0,,
www.eglobalcentral.co.uk//154,615.0,,
www.eglobalcentral.co.uk//504,,,
www.eglobalcentral.co.uk//441,660.0,,20
www.eglobalcentral.co.uk//380,,h3.9w4.9d3.0,24.0
www.eglobalcentral.co.uk//553,,h2.3w4.0d1.4,20.0
www.eglobalcentral.co.uk//103,,h3.9w4.9d3.1,24.0
www.eglobalcentral.co.uk//416,2.0,,24
www.eglobalcentral.co.uk//251,435.0,,
www.eglobalcentral.co.uk//601,,,
www.eglobalcentral.co.uk//314,,,
www.eglobalcentral.co.uk//744,,h3.9w4.9d3.0,24.0
www.eglobalcentral.co.uk//528,2.0,,20
www.eglobalcentral.co.uk//178,,,
www.eglobalcentral.co.uk//20,670.0,,
www.eglobalcentral.co.uk//656,,,
www.eglobalcentral.co.uk//206,,,
www.eglobalcentral.co.uk//713,,h3.9w5.2d3.1,17.9
www.eglobalcentral.co.uk//343,,,
www.eglobalcentral.co.uk//590,,,
www.eglobalcentral.co.uk//98,,,
www.eglobalcentral.co.uk//77,,,
www.eglobalcentral.co.uk//705,,,
www.eglobalcentral.co.uk//586,,,
www.eglobalcentral.co.uk//61,,,
www.eglobalcentral.co.uk//617,350.0,h3.0w5.1d1.5,16.0
www.eglobalcentral.co.uk//247,,h3.9w4.9d3.0,24.0
www.eglobalcentral.co.uk//302,227.0,,
www.eglobalcentral.co.uk//181,,,
www.eglobalcentral.co.uk//36,,,
www.eglobalcentral.co.uk//494,2.0,,
www.eglobalcentral.co.uk//549,,h4.1w5.5d3.1,20.0
www.eglobalcentral.co.uk//41,,,
www.eglobalcentral.co.uk//375,,h2.2w3.9d1.2,15.8
www.eglobalcentral.co.uk//725,,h4.2w5.7d3.1,17.9
www.eglobalcentral.co.uk//230,,h2.6w4.6d1.5,16.0
www.eglobalcentral.co.uk//322,440.0,,16.0
