spec_id,weight
www.alibaba.com//37297,
www.alibaba.com//29289,
www.alibaba.com//23684,190.0
www.alibaba.com//24141,1200.0
www.alibaba.com//22996,600.0
www.alibaba.com//24511,90.0
www.alibaba.com//35300,1200.0
www.alibaba.com//36486,
www.alibaba.com//28498,
www.alibaba.com//25750,250.0
www.alibaba.com//27297,
www.alibaba.com//28162,
www.alibaba.com//7298,
www.alibaba.com//28027,670.0
www.alibaba.com//25615,
www.alibaba.com//24907,
www.alibaba.com//27782,
www.alibaba.com//36469,
www.alibaba.com//32979,
www.alibaba.com//36193,
www.alibaba.com//25245,100.0
www.alibaba.com//37628,700.0
www.alibaba.com//35615,1250.0
www.alibaba.com//30417,
www.alibaba.com//24004,
www.alibaba.com//22979,2100.0
www.alibaba.com//37278,
www.alibaba.com//35245,
www.alibaba.com//29266,
www.alibaba.com//30047,
www.alibaba.com//23391,
www.alibaba.com//5533,
www.alibaba.com//36740,1400.0
www.alibaba.com//27151,
www.alibaba.com//34287,500.0
www.alibaba.com//33542,
www.alibaba.com//36310,
www.alibaba.com//23811,
www.alibaba.com//22703,
www.alibaba.com//27501,500.0
www.alibaba.com//5499,
www.alibaba.com//37151,
www.alibaba.com//24287,
www.alibaba.com//23542,
www.alibaba.com//27852,
www.alibaba.com//35496,
www.alibaba.com//37501,3500.0
www.alibaba.com//23112,
www.alibaba.com//32703,
www.alibaba.com//35029,
www.alibaba.com//26255,
www.alibaba.com//35183,1200.0
www.alibaba.com//33954,
www.alibaba.com//35479,
www.alibaba.com//23057,
www.alibaba.com//25029,700.0
www.alibaba.com//27014,
www.alibaba.com//5476,
www.alibaba.com//37917,288.0
www.alibaba.com//25479,
www.alibaba.com//33057,
www.alibaba.com//35880,
www.alibaba.com//36255,
www.alibaba.com//23954,500.0
www.alibaba.com//25183,5000.0
www.alibaba.com//27690,
www.alibaba.com//26982,
www.alibaba.com//34546,
www.alibaba.com//36081,99.0
www.alibaba.com//33779,
www.alibaba.com//25357,1200.0
www.alibaba.com//25707,
www.alibaba.com//26828,
www.alibaba.com//23779,
www.alibaba.com//35357,
www.alibaba.com//36982,
www.alibaba.com//37690,
www.alibaba.com//30155,4800.0
