spec_id,brand,megapixels,screen_size,weight
www.ebay.com//56784,sony,4.0,2.0,
www.ebay.com//24141,olympus,14.0,,
www.ebay.com//59471,canon,16.0,3.0,
www.ebay.com//47195,canon,6.3,2.0,
www.ebay.com//41942,panasonic,12.0,,
www.ebay.com//54243,canon,22.3,3.0,
www.ebay.com//53586,canon,18.0,,
www.ebay.com//48260,svp,,,
www.ebay.com//45002,canon,8.0,2.0,
www.ebay.com//59021,fujifilm,16.0,3.0,
www.ebay.com//24511,samsung,,,
www.ebay.com//48630,nikon,5.1,2.0,
www.ebay.com//55901,leica,10.0,3.0,
www.ebay.com//57195,nikon,16.2,3.0,
www.ebay.com//44243,sony,5.1,,
www.ebay.com//43586,sanyo,14.0,3.0,
www.ebay.com//24842,vivitar,,,
www.ebay.com//46784,nan,16.0,,590.0
www.ebay.com//59888,fujifilm,12.0,3.0,
www.ebay.com//47896,nikon,6.1,2.0,600.0
www.ebay.com//55452,sony,20.1,3.0,
www.ebay.com//44613,canon,18.1,3.0,
www.ebay.com//59922,sony,3.2,2.0,
www.ebay.com//58630,canon,18.0,3.0,
www.ebay.com//45901,pentax,6.1,2.0,
www.ebay.com//55002,nikon,14.1,3.0,
www.ebay.com//43139,polaroid,10.0,2.0,
www.ebay.com//55517,sony,4.0,,
www.ebay.com//60659,sony,24.3,3.0,
www.ebay.com//52728,canon,,,
www.ebay.com//24907,olympus,3.2,,
www.ebay.com//44306,sony,16.1,3.0,
www.ebay.com//43569,leica,,,
www.ebay.com//53990,samsung,12.2,3.0,
www.ebay.com//60209,sony,20.1,3.0,
www.ebay.com//55147,panasonic,20.1,,
www.ebay.com//52682,panasonic,16.0,3.0,
www.ebay.com//57480,nikon,12.1,3.0,
www.ebay.com//43093,sharper image,,,
www.ebay.com//59867,fujifilm,10.0,3.0,
www.ebay.com//44756,canon,10.0,2.0,
www.ebay.com//45844,canon,10.1,3.0,
www.ebay.com//58775,gopro,10.0,,
www.ebay.com//47879,nikon,10.0,,
www.ebay.com//42728,olympus,16.1,3.0,
www.ebay.com//54306,hp,,,
www.ebay.com//48325,olympus,12.0,3.0,
www.ebay.com//53139,olympus,12.3,3.0,
www.ebay.com//59534,leica,16.0,3.0,
www.ebay.com//24004,sony,10.2,3.0,
www.ebay.com//47480,nikon,16.0,3.0,
www.ebay.com//42378,nikon,24.1,3.0,
www.ebay.com//57879,proscan,,19.0,
www.ebay.com//53093,nikon,10.0,3.0,
www.ebay.com//54756,canon,,,
www.ebay.com//56291,nikon,12.3,3.0,
www.ebay.com//53569,nikon,6.1,2.0,
www.ebay.com//45147,sony,16.2,3.0,
www.ebay.com//24454,samsung,16.1,3.0,
www.ebay.com//59164,olympus,,,
www.ebay.com//60120,canon,12.2,3.0,201.0
www.ebay.com//57253,betterlight,6000,,
www.ebay.com//42952,sony,7.2,2.0,
www.ebay.com//43640,polaroid,10.0,2.0,
www.ebay.com//44185,nikon,5.0,2.0,
www.ebay.com//46442,nikon,16.0,3.0,
www.ebay.com//55794,nikon,14.1,3.0,
www.ebay.com//54886,fujifilm,16.3,3.0,
www.ebay.com//57603,samsung,,55.0,
www.ebay.com//56911,canon,18.0,3.0,
www.ebay.com//60570,panasonic,16.1,3.0,
www.ebay.com//46012,nikon,16.0,3.0,
www.ebay.com//56442,canon,8.0,2.0,
www.ebay.com//60823,fujifilm,10.0,3.0,
www.ebay.com//24287,panasonic,8.1,2.0,
www.ebay.com//44886,canon,18.0,3.0,434.0
www.ebay.com//42051,canon,10.0,3.0,
www.ebay.com//47253,nikon,16.0,3.0,
www.ebay.com//53640,sony,14.1,3.0,
www.ebay.com//54185,canon,18.0,3.0,
www.ebay.com//52952,canon,18.0,3.0,
www.ebay.com//56012,canon,18.0,,
www.ebay.com//42401,nikon,16.2,3.0,
www.ebay.com//46911,canon,12.2,3.0,
www.ebay.com//47603,gopro,10.0,,
www.ebay.com//53210,sony,16.1,3.0,
www.ebay.com//59308,nikon,14.2,3.0,
www.ebay.com//24638,nikon,16.2,3.0,
www.ebay.com//53705,samsung,5.1,2.0,
www.ebay.com//52817,kodak,12.1,3.0,
www.ebay.com//48519,canon,12.2,3.0,
www.ebay.com//56507,olympus,14.0,3.0,
www.ebay.com//42114,canon,12.1,3.0,
www.ebay.com//44869,nan,,,
www.ebay.com//24268,kodak,7.1,2.0,
www.ebay.com//46854,canon,12.1,3.0,
www.ebay.com//47746,canon,10.0,2.0,
www.ebay.com//54490,sony,7.2,2.0,
www.ebay.com//53355,sony,14.2,3.0,
www.ebay.com//56157,canon,18.0,3.0,
www.ebay.com//42544,philips,0.1,,
www.ebay.com//45281,polaroid,5.0,,
www.ebay.com//46507,jakks pacific,,,
www.ebay.com//25029,fujifilm,2.3,2.0,
www.ebay.com//60065,olympus,,,
www.ebay.com//57316,samsung,,,
www.ebay.com//42817,sony,16.1,3.0,
www.ebay.com//43705,nikon,24.2,3.0,
www.ebay.com//58149,kodak,6.1,2.0,
www.ebay.com//55281,canon,10.0,3.0,
www.ebay.com//57746,toshiba,,58.0,
www.ebay.com//54869,nikon,14.2,3.0,
www.ebay.com//60435,olympus,,,
www.ebay.com//56854,nikon,12.3,3.0,
www.ebay.com//23954,sony,5.1,4.0,
www.ebay.com//44490,sony,14.1,3.0,
www.ebay.com//43355,canon,18.0,3.0,
www.ebay.com//25183,nikon,12.1,3.0,
www.ebay.com//46383,samsung,20.3,3.0,
www.ebay.com//53882,canon,18.0,3.0,
www.ebay.com//55055,canon,18.0,3.0,
www.ebay.com//57592,sony,1.8,,
www.ebay.com//43181,nikon,12.1,3.0,
www.ebay.com//59975,nikon,12.3,3.0,
www.ebay.com//44644,nikon,10.2,2.0,
www.ebay.com//45956,panasonic,14.1,,
www.ebay.com//58667,gateway,5.0,2.0,
www.ebay.com//55405,panasonic,16.0,3.0,
www.ebay.com//57438,canon,12.1,3.0,
www.ebay.com//53928,nikon,10.2,2.0,456.0
www.ebay.com//58237,sony,20.1,3.0,
www.ebay.com//24815,fujifilm,16.0,3.0,
www.ebay.com//46229,nikon,14.1,3.0,
www.ebay.com//44214,sony,10.1,3.0,
www.ebay.com//47592,panasonic,12.1,3.0,
www.ebay.com//55956,samsung,14.2,3.0,
www.ebay.com//53181,canon,12.2,3.0,
www.ebay.com//56679,nikon,12.3,3.0,
www.ebay.com//54644,canon,16.0,3.0,
www.ebay.com//56383,nikon,13.5,3.0,
www.ebay.com//45055,olympus,16.0,3.0,
www.ebay.com//42790,kodak,4.0,2.0,
www.ebay.com//47068,fujifilm,16.3,3.0,
www.ebay.com//24546,casio,12.1,2.0,
www.ebay.com//43882,nikon,10.0,2.0,
www.ebay.com//59076,sony,14.2,,
www.ebay.com//43928,canon,18.0,3.0,
www.ebay.com//41915,sony,16.1,3.0,
www.ebay.com//56229,sony,16.2,3.0,
www.ebay.com//54214,unbranded/generic,,,
www.ebay.com//48237,sony,5.0,2.0,
www.ebay.com//59426,canon,10.0,3.0,
www.ebay.com//45405,canon,2.1,,
www.ebay.com//47438,canon,,,
www.ebay.com//45110,canon,18.0,3.0,
www.ebay.com//59133,global point,1.1,,
www.ebay.com//24403,zeiss,,,
www.ebay.com//48722,fujifilm,6.3,2.0,
www.ebay.com//54701,sakar,2.1,,
www.ebay.com//57984,sony,8.1,3.0,
www.ebay.com//56696,canon,16.0,3.0,
www.ebay.com//24053,panasonic,8.1,2.0,
