left_spec_id,right_spec_id
www.ebay.com//53660,www.ebay.com//54990
www.ebay.com//53660,www.ebay.com//59248
www.ebay.com//53660,www.ebay.com//56895
www.ebay.com//43753,www.ebay.com//53660
www.ebay.com//43753,www.ebay.com//54990
www.ebay.com//43753,www.ebay.com//56895
www.ebay.com//43753,www.ebay.com//48043
www.ebay.com//53762,www.ebay.com//60652
www.ebay.com//53762,www.ebay.com//59248
www.ebay.com//53762,www.ebay.com//57780
www.ebay.com//45224,www.ebay.com//53762
www.ebay.com//45224,www.ebay.com//57780
www.ebay.com//54990,www.ebay.com//56895
www.ebay.com//59248,www.ebay.com//60652
www.ebay.com//57780,www.ebay.com//60652
www.ebay.com//57780,www.ebay.com//59248
www.ebay.com//56895,www.ebay.com//59248
www.ebay.com//48043,www.ebay.com//53660
www.ebay.com//48043,www.ebay.com//54990
www.ebay.com//48043,www.ebay.com//56895
www.buzzillions.com//2599,www.buzzillions.com//2936
www.buzzillions.com//2599,www.buzzillions.com//2827
www.buzzillions.com//2827,www.buzzillions.com//2936
